ℹ Saving to output directory: G:\Meu Drive\TCC\TCC II - Everson
Leonardi\Projeto\Dados\Spacy\models
ℹ Using CPU
[1m
=========================== Initializing pipeline ===========================[0m
✔ Initialized pipeline
[1m
============================= Training pipeline =============================[0m
ℹ Pipeline: ['tok2vec', 'ner']
ℹ Initial learn rate: 0.001
E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE 
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00     44.94    0.00    0.00    0.00    0.00
  3     200        154.74   2095.93   33.33   44.23   26.74    0.33
  7     400         68.29    889.89   44.76   56.14   37.21    0.45
 12     600        113.44    687.74   53.42   65.00   45.35    0.53
 18     800        141.28    573.49   55.94   70.18   46.51    0.56
 25    1000        536.51    343.56   50.36   66.04   40.70    0.50
 35    1200         59.35    280.49   55.26   63.64   48.84    0.55
 47    1400         58.16    303.36   58.60   64.79   53.49    0.59
 61    1600        669.74    369.04   53.06   63.93   45.35    0.53
 79    1800         64.80    361.69   62.03   68.06   56.98    0.62
100    2000         28.31    349.51   57.53   70.00   48.84    0.58
127    2200         32.89    426.54   60.12   63.64   56.98    0.60
159    2400         39.45    448.34   56.95   66.15   50.00    0.57
192    2600         39.18    474.07   63.01   76.67   53.49    0.63
226    2800         37.77    469.69   58.67   68.75   51.16    0.59
259    3000         53.22    465.21   55.48   62.32   50.00    0.55
292    3200         33.80    460.43   55.48   62.32   50.00    0.55
326    3400         40.57    450.41   59.72   74.14   50.00    0.60
359    3600         53.07    476.01   57.47   56.82   58.14    0.57
392    3800         68.98    470.21   60.12   63.64   56.98    0.60
426    4000         81.85    459.36   53.06   63.93   45.35    0.53
459    4200         64.00    465.36   51.19   52.44   50.00    0.51
✔ Saved pipeline to output directory
G:\Meu Drive\TCC\TCC II - Everson Leonardi\Projeto\Dados\Spacy\models\model-last
