ℹ Saving to output directory: G:\Meu Drive\TCC\TCC II - Everson
Leonardi\Projeto\Dados\Spacy\models
ℹ Using CPU
[1m
=========================== Initializing pipeline ===========================[0m
✔ Initialized pipeline
[1m
============================= Training pipeline =============================[0m
ℹ Pipeline: ['tok2vec', 'ner']
ℹ Initial learn rate: 0.001
E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE 
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00     38.67    0.00    0.00    0.00    0.00
  3     200        106.85   2035.52   57.99   62.82   53.85    0.58
  6     400         79.16    817.30   63.80   72.22   57.14    0.64
 11     600         40.01    495.21   57.80   60.98   54.95    0.58
 17     800        163.61    388.39   59.17   64.10   54.95    0.59
 25    1000         73.68    398.81   59.39   66.22   53.85    0.59
 34    1200        135.26    380.87   59.17   64.10   54.95    0.59
 46    1400         52.66    300.76   62.50   72.46   54.95    0.62
 60    1600         61.78    323.83   61.63   65.43   58.24    0.62
 77    1800        176.23    376.41   62.07   65.06   59.34    0.62
 98    2000         68.37    395.55   64.71   69.62   60.44    0.65
124    2200         60.50    441.58   60.00   64.56   56.04    0.60
156    2400         55.22    486.31   64.41   66.28   62.64    0.64
189    2600         42.89    490.85   58.90   66.67   52.75    0.59
222    2800         48.64    475.91   66.28   70.37   62.64    0.66
256    3000         48.44    491.68   60.36   65.38   56.04    0.60
289    3200         57.12    485.04   61.15   72.73   52.75    0.61
322    3400         46.02    483.62   63.41   71.23   57.14    0.63
356    3600         76.80    475.17   60.61   67.57   54.95    0.61
389    3800         75.90    478.10   67.06   72.15   62.64    0.67
422    4000        240.28    492.92   61.35   69.44   54.95    0.61
456    4200         79.53    458.31   63.58   67.07   60.44    0.64
489    4400         76.11    485.18   61.54   73.85   52.75    0.62
522    4600         82.94    489.09   61.08   67.11   56.04    0.61
556    4800         69.25    474.54   59.30   62.96   56.04    0.59
589    5000         71.16    477.35   61.35   69.44   54.95    0.61
622    5200         59.94    473.01   63.16   67.50   59.34    0.63
656    5400       2453.06    573.00   64.67   71.05   59.34    0.65
✔ Saved pipeline to output directory
G:\Meu Drive\TCC\TCC II - Everson Leonardi\Projeto\Dados\Spacy\models\model-last
