ℹ Saving to output directory: G:\Meu Drive\TCC\TCC II - Everson
Leonardi\Projeto\Dados\Spacy\models
ℹ Using CPU
[1m
=========================== Initializing pipeline ===========================[0m
✔ Initialized pipeline
[1m
============================= Training pipeline =============================[0m
ℹ Pipeline: ['tok2vec', 'ner']
ℹ Initial learn rate: 0.001
E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE 
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00     38.93    1.32    0.72    8.33    0.01
  3     200         82.29   1988.06   45.95   53.12   40.48    0.46
  6     400        290.51    909.15   45.45   50.00   41.67    0.45
 11     600         40.69    558.44   43.75   46.05   41.67    0.44
 17     800        231.17    449.82   50.00   54.17   46.43    0.50
 25    1000         65.97    328.21   53.04   49.48   57.14    0.53
 34    1200         53.42    223.57   56.00   53.85   58.33    0.56
 46    1400        102.67    314.07   55.26   61.76   50.00    0.55
 60    1600         94.62    275.22   55.70   59.46   52.38    0.56
 77    1800         71.72    321.27   56.63   57.32   55.95    0.57
 98    2000         87.14    361.77   55.21   56.96   53.57    0.55
124    2200        142.67    398.11   51.53   53.16   50.00    0.52
155    2400        100.40    438.96   50.32   54.93   46.43    0.50
188    2600         52.39    424.07   56.77   61.97   52.38    0.57
222    2800         47.91    400.14   50.31   51.90   48.81    0.50
255    3000         63.39    430.86   58.90   60.76   57.14    0.59
288    3200        165.26    488.37   53.09   55.13   51.19    0.53
322    3400         42.30    379.49   56.79   58.97   54.76    0.57
355    3600         62.62    412.69   51.57   54.67   48.81    0.52
388    3800         66.16    394.22   52.56   56.94   48.81    0.53
422    4000         60.39    406.29   57.33   65.15   51.19    0.57
455    4200         73.42    375.53   52.29   57.97   47.62    0.52
488    4400        164.98    412.27   59.63   62.34   57.14    0.60
522    4600         93.68    415.19   54.67   62.12   48.81    0.55
555    4800         92.18    391.31   50.91   51.85   50.00    0.51
588    5000        139.97    420.42   51.50   51.81   51.19    0.51
622    5200        432.04    416.66   54.88   56.25   53.57    0.55
655    5400       2483.33    528.27   50.00   50.00   50.00    0.50
688    5600        119.40    403.05   55.13   59.72   51.19    0.55
722    5800         74.78    376.77   53.85   58.33   50.00    0.54
755    6000         98.18    393.32   49.08   50.63   47.62    0.49
✔ Saved pipeline to output directory
G:\Meu Drive\TCC\TCC II - Everson Leonardi\Projeto\Dados\Spacy\models\model-last
