ℹ Saving to output directory: G:\Meu Drive\TCC\TCC II - Everson
Leonardi\Projeto\Dados\Spacy\models
ℹ Using CPU
[1m
=========================== Initializing pipeline ===========================[0m
✔ Initialized pipeline
[1m
============================= Training pipeline =============================[0m
ℹ Pipeline: ['tok2vec', 'ner']
ℹ Initial learn rate: 0.001
E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE 
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00     44.71    0.71    0.38    5.00    0.01
  3     200         93.91   1920.86   40.22   45.57   36.00    0.40
  7     400        146.86    861.93   47.40   56.16   41.00    0.47
 12     600        240.82    696.04   46.32   48.89   44.00    0.46
 18     800         54.45    442.38   48.04   47.12   49.00    0.48
 26    1000        210.48    287.67   47.18   48.42   46.00    0.47
 36    1200        216.51    333.51   51.55   53.19   50.00    0.52
 48    1400         46.53    246.80   50.27   54.02   47.00    0.50
 62    1600         67.16    286.58   50.00   50.00   50.00    0.50
 81    1800         67.91    282.53   43.75   39.52   49.00    0.44
103    2000        128.76    357.54   51.58   54.44   49.00    0.52
130    2200         52.76    354.15   47.42   48.94   46.00    0.47
162    2400        268.54    397.20   48.51   48.04   49.00    0.49
195    2600         31.70    374.69   52.53   53.06   52.00    0.53
229    2800         40.31    348.89   47.76   47.52   48.00    0.48
262    3000         67.44    395.48   49.75   50.52   49.00    0.50
295    3200         25.89    338.55   47.42   48.94   46.00    0.47
329    3400         81.60    378.25   48.78   47.62   50.00    0.49
362    3600         33.52    357.60   43.78   43.56   44.00    0.44
395    3800         44.86    346.35   49.75   50.52   49.00    0.50
429    4000         40.48    349.99   48.17   50.55   46.00    0.48
462    4200         38.41    350.22   45.13   46.32   44.00    0.45
✔ Saved pipeline to output directory
G:\Meu Drive\TCC\TCC II - Everson Leonardi\Projeto\Dados\Spacy\models\model-last
 
